gene_family,direction,effect_size,diaz_rate_present,diaz_rate_absent,n_genomes_with_feature,chi2,p_value,importance
GF_00408,Positive,0.4225113858165257,0.4413793103448276,0.018867924528301886,290,86.68672908623421,1.2714715601428044e-20,0.02368116763204539
GF_01952,Positive,0.3033006244424621,0.3559322033898305,0.05263157894736842,354,31.892635104140904,1.629337633882815e-08,0.023675699516099324
GF_01559,Positive,0.622761534399155,0.732824427480916,0.11006289308176101,131,171.13576490984875,4.179350738931107e-39,0.023627308997316663
GF_01604,Positive,0.5962623583313239,0.7153846153846154,0.11912225705329153,130,156.03954875929844,8.298989896634586e-36,0.02325715526551751
GF_00297,Positive,0.391347687400319,0.42424242424242425,0.03289473684210526,297,72.63824645130121,1.5573159720771766e-17,0.023222761702400046
GF_00137,Positive,0.7692640692640692,0.8571428571428571,0.08787878787878788,119,246.76334380973702,1.3184934673532699e-55,0.023153194554146703
GF_02074,Negative,-0.11234071093226025,0.19718309859154928,0.30952380952380953,71,3.127244450525567,0.07699377834692007,0.023115655339523127
GF_01722,Positive,0.46506211180124224,0.5900621118012422,0.125,161,105.85174948907489,7.946309930484349e-25,0.023033056941747707
GF_02433,Negative,-0.047709923664122134,0.25,0.29770992366412213,56,0.33373480642534215,0.5634681306616036,0.022984004510886797
GF_01138,Positive,0.38810763160104106,0.4404332129963899,0.05232558139534884,277,75.4832154060843,3.685263406297417e-18,0.022971483297025835
GF_02437,Negative,-0.05285535266738278,0.24561403508771928,0.29846938775510207,57,0.4413233959645346,0.5064843991872245,0.02296362615097502
GF_01599,Negative,-0.1382694873260911,0.16981132075471697,0.30808080808080807,53,3.6815934515408366,0.05501624800946126,0.022958333213554522
GF_00801,Positive,0.749345892203035,0.8775510204081632,0.1282051282051282,98,204.57263264273712,2.0991136139900246e-46,0.022958061153490066
GF_01827,Positive,0.44821316614420065,0.46545454545454545,0.017241379310344827,275,101.45163902242138,7.322964217410044e-24,0.022936889816361036
GF_02185,Negative,-0.1777271846541368,0.1346153846153846,0.3123425692695214,52,6.194502793628159,0.012814772091672743,0.022908289638179393
GF_02389,Positive,0.4515665479274611,0.5492227979274611,0.09765625,193,106.41539226926525,5.979151991061899e-25,0.02286625397235684
GF_00107,Negative,-0.1868723098995696,0.12195121951219512,0.3088235294117647,41,5.4243668769904705,0.019857634134744038,0.02269392477046819
GF_00208,Positive,0.7310601719197708,0.86,0.12893982808022922,100,197.51631947622758,7.275169793840938e-45,0.022616761486464156
GF_00237,Positive,0.3941470054446461,0.5586206896551724,0.16447368421052633,145,71.913307657058,2.2486235788819484e-17,0.022585443595468078
GF_01234,Positive,0.09138141809290956,0.375,0.28361858190709044,40,1.063442382690416,0.302431368379814,0.022583950241598403
GF_02215,Negative,-0.19053469053469055,0.11904761904761904,0.3095823095823096,42,5.798368933676077,0.016041048327374952,0.02250429943586457
GF_00404,Negative,-0.05285535266738278,0.24561403508771928,0.29846938775510207,57,0.4413233959645346,0.5064843991872245,0.02247193616509646
GF_00618,Positive,0.17670846964740095,0.44642857142857145,0.2697201017811705,56,6.576529916314195,0.010333214553017174,0.022343048834106354
GF_00028,Positive,0.5780265555844832,0.7217391304347827,0.1437125748502994,115,135.53772622221697,2.5183697488423466e-31,0.02233145006089572
GF_00185,Positive,0.12932399766608316,0.4032258064516129,0.2739018087855297,62,3.7220117380814317,0.05369963507368928,0.022320039074662536
GF_02516,Positive,0.5361142957932798,0.7586206896551724,0.22250639386189258,58,67.6828829680461,1.9202336660870523e-16,0.02227099240192533
GF_01911,Negative,-0.19860742705570295,0.125,0.32360742705570295,72,10.59905012873093,0.0011314577314651443,0.02224162399809358
GF_00431,Positive,0.5193175915937512,0.5728155339805825,0.053497942386831275,206,143.00585707264005,5.860710792152031e-33,0.022202351153187486
GF_01954,Positive,0.26215047422477766,0.3653250773993808,0.10317460317460317,323,28.89017458886645,7.660049244577569e-08,0.02215404407185773
GF_00732,Negative,-0.5489089541008277,0.28442437923250563,0.8333333333333334,443,6.179810206392005,0.012921613646275584,0.022077105950384857
GF_00616,Positive,0.3203116049948448,0.5813953488372093,0.26108374384236455,43,17.786788559684524,2.4709304325145325e-05,0.022000560073298734
GF_02523,Negative,-0.07765235029544049,0.22413793103448276,0.30179028132992325,58,1.1220399071863114,0.2894796328345603,0.0219267416369319
GF_01220,Negative,-0.022311891763588887,0.2727272727272727,0.2950391644908616,66,0.04914561488224625,0.8245566923477206,0.021921753442032437
GF_01720,Positive,0.4246265369057632,0.483739837398374,0.059113300492610835,246,95.00543443674275,1.8986332719549058e-22,0.02191037479060053
GF_00979,Positive,0.5629154204054504,0.632768361581921,0.06985294117647059,177,161.7153253521049,4.774001004818085e-37,0.021777371426012052
GF_00001,Positive,0.6753246753246753,0.8181818181818182,0.14285714285714285,99,167.07170766826857,3.2267594463369253e-38,0.021732837039609775
GF_00874,Positive,0.6425131456091209,0.753968253968254,0.11145510835913312,126,177.9900134676929,1.3313592697471518e-40,0.0217046921171507
GF_02388,Negative,-0.09072854098043018,0.21153846153846154,0.3022670025188917,52,1.4188352769121768,0.23359520592229466,0.021648292633797597
GF_02411,Positive,0.405658531813958,0.5826771653543307,0.17701863354037267,127,70.58197615677739,4.415326224315244e-17,0.02161607443471913
GF_00354,Negative,-0.047229219143576806,0.25,0.2972292191435768,52,0.29407321402177383,0.5876220648956957,0.0214964830507185
GF_01858,Positive,0.34904224847833865,0.5964912280701754,0.24744897959183673,57,27.67546601599685,1.434708114109264e-07,0.021467634916177935
GF_01733,Positive,0.5885504398278121,0.7007299270072993,0.11217948717948718,137,156.74887033226662,5.80798326644702e-36,0.02144759560296527
GF_02485,Positive,0.725415512465374,0.875,0.14958448753462603,88,176.68853204487186,2.5614419447160294e-40,0.021422105357527813
GF_00863,Positive,0.39502595155709347,0.43252595155709345,0.0375,289,75.87092611296886,3.028261363409138e-18,0.021233140535330295
GF_00592,Negative,-0.14708193041526377,0.1590909090909091,0.30617283950617286,44,3.473722265207594,0.0623508576061112,0.021050297321481642
GF_01145,Negative,-0.12907072062001637,0.18309859154929578,0.31216931216931215,71,4.214574599099891,0.040078114548118764,0.021035924751914747
GF_00376,Positive,0.15708388618605337,0.40476190476190477,0.2476780185758514,126,10.077063518670826,0.001501263972621506,0.020960869441279218
GF_01553,Positive,0.7551050519357885,0.8854166666666666,0.13031161473087818,96,204.6230709842109,2.046587783851698e-46,0.020949521236184463
GF_02393,Positive,0.6658576051779935,0.75,0.08414239482200647,140,203.51716992488113,3.567296869702013e-46,0.020871311257731565
GF_00828,Positive,0.46469271469271467,0.5608465608465608,0.09615384615384616,189,112.13291334182371,3.341415615693488e-26,0.0207921812864372
GF_00498,Positive,0.31952017448200654,0.5714285714285714,0.25190839694656486,56,22.69565118208709,1.8979693049279472e-06,0.020727167786433343
GF_02374,Negative,-0.006669006669006661,0.2857142857142857,0.29238329238329236,42,0.0,1.0,0.020689770979571535
GF_01674,Positive,0.3931866926031224,0.5772357723577236,0.18404907975460122,123,64.92486860445186,7.780887682448454e-16,0.020644201225437097
GF_00893,Positive,0.37080644223501363,0.5816326530612245,0.21082621082621084,98,49.198462955682885,2.3133189837424177e-12,0.020589269582883336
GF_01045,Negative,-0.12114392873886548,0.18518518518518517,0.30632911392405066,54,2.8131768395167955,0.09349306484417902,0.02049478064388419
GF_01011,Positive,0.7573521797659728,0.853448275862069,0.0960960960960961,116,235.15527991689305,4.478317270014671e-53,0.020485664623102865
GF_02443,Positive,0.0015433459740717415,0.29310344827586204,0.2915601023017903,58,0.0,1.0,0.020430824106366024
GF_00619,Positive,0.4121707647012015,0.4872881355932203,0.07511737089201878,236,90.05979908048613,2.3106940898153296e-21,0.02043082149703705
GF_01758,Positive,0.3216352816499552,0.4787234042553192,0.15708812260536398,188,53.16541252967508,3.066102452845726e-13,0.02035601557846491
GF_00358,Negative,-0.023431005818786377,0.2708333333333333,0.2942643391521197,48,0.028727559185178327,0.8654096153979164,0.020307075777436664
GF_02379,Positive,0.7319340858697844,0.8264462809917356,0.09451219512195122,121,225.63801816166801,5.3291379098073906e-51,0.0202176284029339
GF_02521,Negative,-0.006669006669006661,0.2857142857142857,0.29238329238329236,42,0.0,1.0,0.020202921136232403
GF_01194,Negative,-0.22012971790263344,0.1044776119402985,0.32460732984293195,67,12.32321455839293,0.0004473596293941426,0.020105001637508522
GF_00690,Positive,0.47822053722674834,0.5612244897959183,0.08300395256916997,196,119.92752684165148,6.561457247492566e-28,0.02010444088720782
GF_00136,Positive,0.6239341085271317,0.7364341085271318,0.1125,129,170.200526139815,6.689131384328972e-39,0.02005523483996299
GF_02180,Negative,-0.1288867790173273,0.18181818181818182,0.31070496083550914,66,3.923676689906971,0.0476106470657373,0.02003994063170892
GF_01593,Negative,-0.2157894736842105,0.1,0.3157894736842105,50,8.995634258542317,0.0027062533257640746,0.02003475133119222
GF_00705,Negative,-0.014033680834001583,0.27906976744186046,0.29310344827586204,43,0.00025945447059678685,0.9871485579857777,0.02000386901351101
GF_01496,Positive,0.19141069397042096,0.4166666666666667,0.22525597269624573,156,17.135371987381248,3.4807977533990813e-05,0.019986099159436065
GF_01576,Positive,0.6394486215538847,0.86,0.22055137844611528,50,84.85558891738202,3.209722369355155e-20,0.019913226965520125
GF_01660,Positive,0.5771673547157827,0.8085106382978723,0.23134328358208955,47,65.07395206319777,7.213936183653052e-16,0.019907605418266267
GF_00352,Negative,-0.04870129870129869,0.25,0.2987012987012987,64,0.41625721031468044,0.5188105564878417,0.019844852768081667
GF_01537,Positive,0.3316498316498317,0.5909090909090909,0.25925925925925924,44,19.55138615262951,9.792965450011708e-06,0.019776269339813215
GF_01855,Positive,0.03177944862155391,0.32,0.2882205513784461,50,0.09059679571245553,0.7634198201130629,0.0197649671540371
GF_00947,Negative,-0.0018122508155128392,0.2903225806451613,0.29213483146067415,93,0.0,1.0,0.019707740157334282
GF_00667,Positive,0.6547469151347268,0.8181818181818182,0.1634349030470914,88,143.63452638107174,4.2706779738476175e-33,0.019654104349377834
GF_01649,Positive,0.778989898989899,0.898989898989899,0.12,99,222.8744626544659,2.1350499792238167e-50,0.019510238036453836
GF_01175,Negative,-0.19930465015210774,0.11864406779661017,0.31794871794871793,59,8.91052022549504,0.0028353248291305274,0.019476788035225942
GF_00211,Positive,0.3873288873288874,0.6428571428571429,0.25552825552825553,42,25.798177955377653,3.7904612691088713e-07,0.019438979929847968
GF_01006,Positive,0.4181047937569677,0.431438127090301,0.013333333333333334,299,82.4933844734688,1.0602439872552693e-19,0.01939886183003234
