gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00263,48,48,47,1,11,0.9791666666666666
GF_00264,54,54,53,1,11,0.9814814814814815
GF_00265,123,123,96,27,39,0.7804878048780488
GF_00266,57,57,51,6,27,0.8947368421052632
GF_00267,76,76,74,2,17,0.9736842105263158
GF_00268,60,60,59,1,12,0.9833333333333333
GF_00269,55,55,54,1,12,0.9818181818181818
GF_00270,70,70,68,2,16,0.9714285714285714
GF_00271,71,71,69,2,15,0.971830985915493
GF_00272,46,46,45,1,9,0.9782608695652174
GF_00273,44,44,43,1,8,0.9772727272727273
GF_00274,99,99,87,12,29,0.8787878787878788
GF_00275,49,49,49,0,12,1.0
GF_00276,50,50,49,1,10,0.98
GF_00277,48,48,47,1,15,0.9791666666666666
GF_00278,49,49,47,2,11,0.9591836734693877
GF_00279,44,44,43,1,8,0.9772727272727273
GF_00280,73,73,71,2,18,0.9726027397260274
GF_00281,76,76,74,2,17,0.9736842105263158
GF_00282,53,53,52,1,13,0.9811320754716981
GF_00283,58,58,57,1,14,0.9827586206896551
GF_00284,583,295,249,334,76,0.42710120068610635
GF_00285,51,51,49,2,12,0.9607843137254902
GF_00286,54,54,53,1,10,0.9814814814814815
GF_00287,93,93,86,7,27,0.9247311827956989
GF_00288,41,41,41,0,8,1.0
GF_00289,44,44,42,2,16,0.9545454545454546
GF_00290,55,55,54,1,12,0.9818181818181818
GF_00291,61,61,59,2,16,0.9672131147540983
GF_00292,41,41,1,40,3,0.024390243902439025
GF_00293,161,161,0,161,4,0.0
GF_00294,46,46,22,24,11,0.4782608695652174
GF_00295,61,61,56,5,16,0.9180327868852459
GF_00296,87,87,32,55,19,0.367816091954023
GF_00297,297,297,126,171,78,0.42424242424242425
GF_00298,147,147,0,147,4,0.0
GF_00299,72,72,0,72,3,0.0
GF_00300,46,46,0,46,3,0.0
GF_00301,53,53,0,53,3,0.0
GF_00302,89,89,0,89,4,0.0
GF_00303,103,103,0,103,4,0.0
GF_00304,69,69,0,69,3,0.0
GF_00305,64,64,0,64,3,0.0
GF_00306,71,71,0,71,4,0.0
GF_00307,41,41,0,41,3,0.0
GF_00308,52,52,0,52,2,0.0
GF_00309,43,43,0,43,2,0.0
GF_00310,44,44,0,44,2,0.0
GF_00311,45,42,0,45,1,0.0
GF_00312,57,57,0,57,2,0.0
GF_00313,101,101,0,101,4,0.0
GF_00314,52,52,0,52,2,0.0
GF_00315,55,55,0,55,3,0.0
GF_00316,41,40,0,41,2,0.0
GF_00317,69,69,0,69,3,0.0
